congress,chamber,icpsr,district_code,state_abbrev,party,bioname,ideal_point
79,House,195,3.0,AL,D,"ANDREWS, George William",-0.03
79,House,937,1.0,AL,D,"BOYKIN, Frank William",-0.105
79,House,3754,2.0,AL,D,"GRANT, George McInvale",-0.117
79,House,4471,4.0,AL,D,"HOBBS, Samuel Francis",-0.176
79,House,4892,6.0,AL,D,"JARMAN, Peterson Bryant (Pete)",-0.238
79,House,5950,7.0,AL,D,"MANASCO, Carter",-0.146
79,House,7233,9.0,AL,D,"PATRICK, Luther",-0.371
79,House,7695,5.0,AL,D,"RAINS, Albert McKinley",-0.342
79,House,8764,8.0,AL,D,"SPARKMAN, John Jackson",-0.204
79,House,4078,98.0,AZ,D,"HARLESS, Richard Fielding",-0.261
79,House,6799,98.0,AZ,D,"MURDOCK, John Robert",-0.329
79,House,2157,4.0,AR,D,"CRAVENS, William Fadjo",-0.004
79,House,3506,1.0,AR,D,"GATHINGS, Ezekiel Candler",0.012
79,House,4110,7.0,AR,D,"HARRIS, Oren",-0.179
79,House,4244,5.0,AR,D,"HAYS, Lawrence Brooks",-0.269
79,House,6532,2.0,AR,D,"MILLS, Wilbur Daigh",-0.237
79,House,6958,6.0,AR,D,"NORRELL, William Frank",-0.038
79,House,9473,3.0,AR,D,"TRIMBLE, James William",-0.397
79,House,173,8.0,CA,R,"ANDERSON, John Zuinglius",0.226
79,House,2689,14.0,CA,D,"DOUGLAS, Helen Gahagan",-0.588
79,House,2713,18.0,CA,D,"DOYLE, Clyde Gilman",-0.368
79,House,2908,10.0,CA,D,"ELLIOTT, Alfred James",-0.004
79,House,2965,2.0,CA,D,"ENGLE, Clair",-0.219
79,House,3518,9.0,CA,R,"GEARHART, Bertrand Wesley",0.127
79,House,4201,4.0,CA,D,"HAVENNER, Franck Roberts",-0.453
79,House,4264,13.0,CA,D,"HEALY, Ned Romeyn",-0.564
79,House,4450,20.0,CA,R,"HINSHAW, John Carl Williams",0.148
79,House,4514,19.0,CA,D,"HOLIFIELD, Chester Earl",-0.467
79,House,4836,23.0,CA,D,"IZAC, Edouard Victor Michel",-0.468
79,House,4976,3.0,CA,R,"JOHNSON, Justin Leroy",0.099
79,House,5255,17.0,CA,D,"KING, Cecil Rhodes",-0.468
79,House,5531,1.0,CA,D,"LEA, Clarence Frederick",-0.081
79,House,6220,15.0,CA,R,"McDONOUGH, Gordon Leo",0.205
79,House,6483,6.0,CA,D,"MILLER, George Paul",-0.426
79,House,7117,11.0,CA,D,"OUTLAND, George Elmer",-0.543
79,House,7239,16.0,CA,D,"PATTERSON, Ellis Ellwood",-0.575
79,House,7415,22.0,CA,R,"PHILLIPS, John",0.474
79,House,8444,21.0,CA,D,"SHEPPARD, Harry Richard",-0.27
79,House,9406,7.0,CA,D,"TOLAN, John Harvey",-0.31
79,House,9687,12.0,CA,D,"VOORHIS, Horace Jeremiah (Jerry)",-0.329
79,House,9928,5.0,CA,R,"WELCH, Richard Joseph",-0.174
79,House,1684,3.0,CO,R,"CHENOWETH, John Edgar",0.184
79,House,3592,1.0,CO,R,"GILLESPIE, Dean Milton",0.369
79,House,4429,2.0,CO,R,"HILL, William Silas",0.247
79,House,8005,4.0,CO,R,"ROCKWELL, Robert Fay",0.333
79,House,3524,3.0,CT,D,"GEELAN, James Patrick",-0.453
79,House,5359,1.0,CT,D,"KOPPLEMANN, Herman Paul",-0.435
79,House,5827,4.0,CT,R,"LUCE, Clare Boothe",0.07
79,House,8162,99.0,CT,D,"RYTER, Joseph Francis",-0.398
79,House,9160,5.0,CT,R,"TALBOT, Joseph Edward",0.231
79,House,10344,2.0,CT,D,"WOODHOUSE, Chase Going",-0.435
79,House,9459,1.0,DE,D,"TRAYNOR, Philip Andrew",-0.283
79,House,1478,4.0,FL,D,"CANNON, Arthur Patrick (Pat)",-0.198
79,House,4318,5.0,FL,D,"HENDRICKS, Joseph Edward",-0.147
79,House,7372,1.0,FL,D,"PETERSON, James Hardin",-0.18
79,House,7611,2.0,FL,D,"PRICE, Emory Hilliard",-0.114
79,House,8023,6.0,FL,D,"ROGERS, Dwight Laing",-0.06
79,House,8507,3.0,FL,D,"SIKES, Robert Lee Fulton",-0.128
79,House,1130,10.0,GA,D,"BROWN, Paul",-0.191
79,House,1439,4.0,GA,D,"CAMP, Albert Sidney",-0.18
79,House,2111,2.0,GA,D,"COX, Edward Eugene",-0.03
79,House,3563,8.0,GA,D,"GIBSON, John Strickland",0.019
79,House,5953,5.0,GA,D,"MANKIN, Helen Douglas",-0.376
79,House,7142,3.0,GA,D,"PACE, Stephen",-0.095
79,House,7371,1.0,GA,D,"PETERSON, Hugh",0.006
79,House,7709,5.0,GA,D,"RAMSPECK, Robert C. Word",-0.21
79,House,9183,7.0,GA,D,"TARVER, Malcolm Connor",-0.028
79,House,9677,6.0,GA,D,"VINSON, Carl",-0.212
79,House,10329,9.0,GA,D,"WOOD, John Stephens",0.049
79,House,2803,2.0,ID,R,"DWORSHAK, Henry Clarence",0.402
79,House,10015,1.0,ID,D,"WHITE, Compton Ignatius",-0.177
79,House,121,13.0,IL,R,"ALLEN, Leo Elwood",0.384
79,House,226,17.0,IL,R,"ARENDS, Leslie Cornelius",0.301
79,House,731,25.0,IL,R,"BISHOP, Cecil William (Runt)",0.609
79,House,1702,15.0,IL,R,"CHIPERFIELD, Robert Bruce",0.324
79,House,1723,10.0,IL,R,"CHURCH, Ralph Edwin",0.407
79,House,1851,24.0,IL,R,"CLIPPINGER, Roy",0.562
79,House,2433,1.0,IL,D,"DAWSON, William Levi",-0.527
79,House,2609,16.0,IL,R,"DIRKSEN, Everett McKinley",0.317
79,House,2687,99.0,IL,D,"DOUGLAS, Emily Taft",-0.429
79,House,3700,8.0,IL,D,"GORDON, Thomas Sylvy",-0.45
79,House,3715,4.0,IL,D,"GORSKI, Martin",-0.398
79,House,4282,24.0,IL,R,"HEIDINGER, James Vandaveer",0.694
79,House,4648,21.0,IL,R,"HOWELL, George Evan",0.345
79,House,4941,14.0,IL,R,"JOHNSON, Anton Joseph",0.511
79,House,5149,3.0,IL,D,"KELLY, Edward Austin",-0.259
79,House,5685,7.0,IL,D,"LINK, William Walter",-0.556
79,House,6061,12.0,IL,R,"MASON, Noah Morgan",0.63
79,House,6358,19.0,IL,R,"McMILLEN, Rolla Coral",0.297
79,House,7004,6.0,IL,D,"O'BRIEN, Thomas Joseph",-0.365
79,House,7610,22.0,IL,D,"PRICE, Charles Melvin",-0.429
79,House,7779,11.0,IL,R,"REED, Chauncey William",0.384
79,House,7823,9.0,IL,D,"RESA, Alexander John",-0.476
79,House,8089,2.0,IL,D,"ROWAN, William A.",-0.491
79,House,8163,5.0,IL,D,"SABATH, Adolph Joachim",-0.469
79,House,8533,20.0,IL,R,"SIMPSON, Sidney Elmer",0.309
79,House,9086,18.0,IL,R,"SUMNER, Jessie",0.544
79,House,9693,23.0,IL,R,"VURSELL, Charles Wesley",0.439
79,House,3605,4.0,IN,R,"GILLIE, George W.",0.4
79,House,3756,3.0,IN,R,"GRANT, Robert Allen",0.392
79,House,3963,2.0,IN,R,"HALLECK, Charles Abraham",0.272
79,House,4082,5.0,IN,R,"HARNESS, Forest Arthur",0.478
79,House,4983,6.0,IN,R,"JOHNSON, Noble Jacob",0.323
79,House,5400,8.0,IN,R,"LA FOLLETTE, Charles Marion",-0.125
79,House,5434,7.0,IN,R,"LANDIS, Gerald Wayne",0.328
79,House,5831,11.0,IN,D,"LUDLOW, Louis Leon",-0.123
79,House,5900,1.0,IN,D,"MADDEN, Ray John",-0.422
79,House,8813,10.0,IN,R,"SPRINGER, Raymond Smiley",0.441
79,House,10212,9.0,IN,R,"WILSON, Earl",0.358
79,House,2256,5.0,IA,R,"CUNNINGHAM, Paul Harvey",0.192
79,House,2647,6.0,IA,R,"DOLLIVER, James Isaac",0.278
79,House,3890,3.0,IA,R,"GWYNNE, John Williams",0.337
79,House,4482,8.0,IA,R,"HOEVEN, Charles Bernard",0.317
79,House,4928,7.0,IA,R,"JENSEN, Benton Franklin",0.386
79,House,5552,4.0,IA,R,"LE COMPTE, Karl Miles",0.267
79,House,6039,1.0,IA,R,"MARTIN, Thomas Ellsworth",0.304
79,House,9168,2.0,IA,R,"TALLE, Henry Oscar",0.27
79,House,1510,6.0,KS,R,"CARLSON, Frank",0.232
79,House,1920,1.0,KS,R,"COLE, Albert McDonald",0.269
79,House,4562,5.0,KS,R,"HOPE, Clifford Ragsdale",0.231
79,House,7799,4.0,KS,R,"REES, Edward Herbert",0.349
79,House,8318,2.0,KS,R,"SCRIVNER, Errett Power",0.487
79,House,10283,3.0,KS,R,"WINTER, Thomas Daniel",0.48
79,House,516,8.0,KY,D,"BATES, Joseph Bengal",-0.307
79,House,1659,6.0,KY,D,"CHAPMAN, Virgil Munday",-0.118
79,House,1682,4.0,KY,D,"CHELF, Frank Leslie",-0.215
79,House,1831,2.0,KY,D,"CLEMENTS, Earle C.",-0.233
79,House,3809,1.0,KY,D,"GREGORY, Noble Jones",-0.267
79,House,6100,7.0,KY,D,"MAY, Andrew Jackson",-0.047
79,House,7073,3.0,KY,D,"O'NEAL, Emmet",-0.134
79,House,7996,9.0,KY,R,"ROBSION, John Marshall",0.294
79,House,8778,5.0,KY,D,"SPENCE, Brent",-0.351
79,House,100,8.0,LA,D,"ALLEN, Asa Leonard",-0.118
79,House,1081,4.0,LA,D,"BROOKS, Overton",-0.125
79,House,2650,3.0,LA,D,"DOMENGEAUX, James",-0.044
79,House,4275,1.0,LA,D,"HÉBERT, Felix Edward",-0.079
79,House,5476,7.0,LA,D,"LARCADE, Henry Dominique, Jr.",-0.046
79,House,5947,2.0,LA,D,"MALONEY, Paul Herbert",-0.178
79,House,6298,5.0,LA,D,"McKENZIE, Charles Edgar",0.029
79,House,6721,6.0,LA,D,"MORRISON, James Hobson",-0.28
79,House,3096,3.0,ME,R,"FELLOWS, Frank",0.343
79,House,3924,1.0,ME,R,"HALE, Robert",0.163
79,House,8666,2.0,ME,R,"SMITH, Margaret Chase",0.1
79,House,381,2.0,MD,D,"BALDWIN, Harry Streett",-0.062
79,House,546,6.0,MD,R,"BEALL, James Glenn",0.176
79,House,2304,3.0,MD,D,"D'ALESANDRO, Thomas, Jr.",-0.256
79,House,3054,4.0,MD,D,"FALLON, George Hyde",-0.171
79,House,8017,1.0,MD,D,"ROE, Dudley George",0.076
79,House,8219,5.0,MD,D,"SASSCER, Lansdale Ghiselin",-0.209
79,House,512,6.0,MA,R,"BATES, George Joseph",0.223
79,House,1803,2.0,MA,R,"CLASON, Charles Russell",0.205
79,House,2258,11.0,MA,D,"CURLEY, James Michael",-0.257
79,House,3569,9.0,MA,R,"GIFFORD, Charles Laceille",0.315
79,House,3682,8.0,MA,R,"GOODWIN, Angier Louis",0.349
79,House,4371,10.0,MA,R,"HERTER, Christian Archibald",0.169
79,House,4372,1.0,MA,R,"HESELTON, John Walter",0.098
79,House,4538,4.0,MA,R,"HOLMES, Pehr Gustaf",0.294
79,House,5447,7.0,MA,D,"LANE, Thomas Joseph",-0.298
79,House,6033,14.0,MA,R,"MARTIN, Joseph William, Jr.",0.203
79,House,6177,12.0,MA,D,"McCORMACK, John William",-0.328
79,House,7408,3.0,MA,D,"PHILBIN, Philip Joseph",-0.238
79,House,8024,5.0,MA,R,"ROGERS, Edith Nourse",0.143
79,House,10095,13.0,MA,R,"WIGGLESWORTH, Richard Bowditch",0.266
79,House,758,6.0,MI,R,"BLACKNEY, William Wallace",0.282
79,House,953,11.0,MI,R,"BRADLEY, Frederick Van Ness",0.475
79,House,2159,8.0,MI,R,"CRAWFORD, Fred Lewis",0.451
79,House,2604,15.0,MI,D,"DINGELL, John David",-0.422
79,House,2653,17.0,MI,R,"DONDERO, George Anthony",0.339
79,House,2963,9.0,MI,R,"ENGEL, Albert Joseph",0.233
79,House,4487,4.0,MI,R,"HOFFMAN, Clare Eugene",0.691
79,House,4552,12.0,MI,D,"HOOK, Frank Eugene",-0.6
79,House,5072,5.0,MI,R,"JONKMAN, Bartel John",0.394
79,House,5616,16.0,MI,D,"LESINSKI, John",-0.401
79,House,6456,2.0,MI,R,"MICHENER, Earl Cory",0.31
79,House,6998,13.0,MI,D,"O'BRIEN, George Donoghue",-0.367
79,House,7682,14.0,MI,D,"RABAUT, Louis Charles",-0.355
79,House,8172,1.0,MI,D,"SADOWSKI, George Gregory",-0.534
79,House,8392,3.0,MI,R,"SHAFER, Paul Werntz",0.487
79,House,10303,7.0,MI,R,"WOLCOTT, Jesse Paine",0.324
79,House,10348,10.0,MI,R,"WOODRUFF, Roy Orchard",0.348
79,House,158,7.0,MN,R,"ANDERSEN, Herman Carl",0.294
79,House,188,1.0,MN,R,"ANDRESEN, August Herman",0.318
79,House,3436,3.0,MN,D,"GALLAGHER, William James",-0.449
79,House,3902,9.0,MN,R,"HAGEN, Harold Christian",0.099
79,House,5083,5.0,MN,R,"JUDD, Walter Henry",0.1
79,House,5352,6.0,MN,R,"KNUTSON, Harold",0.415
79,House,7044,2.0,MN,R,"O'HARA, Joseph Patrick",0.387
79,House,7472,8.0,MN,R,"PITTENGER, William Alvin",0.107
79,House,8851,4.0,MN,D,"STARKEY, Frank Thomas",-0.35
79,House,13,4.0,MS,D,"ABERNETHY, Thomas Gerstle",0.052
79,House,1952,6.0,MS,D,"COLMER, William Meyers",0.052
79,House,6250,7.0,MS,D,"McGEHEE, Daniel Rayford",-0.024
79,House,7731,1.0,MS,D,"RANKIN, John Elliott",0.006
79,House,10075,2.0,MS,D,"WHITTEN, Jamie Lloyd",-0.161
79,House,10077,3.0,MS,D,"WHITTINGTON, William Madison",-0.049
79,House,10279,5.0,MS,D,"WINSTEAD, William Arthur",0.049
79,House,248,1.0,MO,R,"ARNOLD, Samuel Washington (Wat)",0.509
79,House,598,4.0,MO,D,"BELL, Charles Jasper",-0.059
79,House,641,6.0,MO,R,"BENNETT, Marion Tinsley",0.346
79,House,1479,9.0,MO,D,"CANNON, Clarence Andrew",-0.175
79,House,1517,8.0,MO,D,"CARNAHAN, Albert Sidney Johnson",-0.4
